,Unnamed: 0,text,labels,target,action
10,10,The U.S. Geological Survey reports that a 2.7 earthquake shook the Palos Verdes area Friday morning at 11:14 a.m. The quake was widely felt in the South Bay. No damage or injuries have been reported as a result of the temblor.,0,8,5
11,11,"And then there were three. Saline City Manager Todd J. Campbell announced Wednesday that the citys special hiring committee has recommended three finalists for the position of chief in the Saline Police Department. The candidates are Larry R. Hrinik, retired chief of police in Davison Township; David C. Northrop II, public safety director in Sturgis; and Gerard S. Schlerinck police captain Troy. The Hiring Committee is pleased to present three top-notch candidates to the Saline City Council, Police Department, and community at large. Each candidate possesses different experiences and strengths, but all three understand and value the unique identity of Saline, said Campbell, in a press release issued Wednesday. Each candidate has expressed his eagerness to become an integral part of our community. Northrop was not initially among the f. He had dropped out of the process because he was not certain he could meet the citys desire to have a new chief in place July 1, according to Campbell. The during the final round of interviews with the understanding that he might not be ready to take the post July 1 if hired, according to Campbell. Schlerinck was also identified as the top candidate for the Milan police chief post, according to Heritage Media. who was encouraged to put in for the post after the process had begun, did not make the list of finalists. Campbell said the city was aware of the situation in Milan and that Schlerinck indicated he wishes to remain part of the process in Saline. Saline City Council will publicly present three finalists for the position of police chief on Saturday, June 9. Interview times are at noon, 12:45 p.m. and 1:30 p.m. After interviewing with city council in a work session open to the public, candidates will participate in a public meet-and-greet at 2:30 p.m. in the council chambers. Candidates will then interact informally with members of the Saline Police Department at 3:30 p.m., a time intended to maximize participation by all three shifts of employees. Citizens and police department members will be invited to complete reaction forms that will be reviewed by council before its final choice of a chief. The Saline City Council will convene a special meeting Monday, June 11 at 7:30 p.m. to choose the citys next chief. The members of the hiring committee include Mayor Gretchen Driskell, city council members David Rhoads and Brian Marl, Chelsea Police Chief Ed Toth and Campbell. To reach this point, candidates have submitted a letter and resume, completed a supplementary questionnaire concerning six critical competency areas identified by community stakeholders, interviewed by telephone with a professional expert in police selection, and met face-to-face with the hiring committee. The city began searching for a new chief when .",0,8,5
12,12,"Arlington police charged a Bridgewater man with breaking and entering Friday after he allegedly entered a womans home through the window and texted her that he was waiting for her. Police said around 9:40 p.m. on May 25 a woman reported 24-year-old Robert McGuane in her apartment. The woman was on the T when McGuane texted her from inside her apartment, according to police. The woman did not answer, and called her mother, who told her to call the police. Upon arrival, officers heard a male voice yelling from inside the apartment. They found one of the windows open and saw McGuane walking from the bedroom to the living room, according to the report. McGuane let police in and was taken into custody. Police did not find a key to the apartment that he said he had, and the woman told officers he was not on the lease, was not given a key and did not have permission to enter the apartment. She said she was not afraid of McGuane and did not believe he was there to cause her arm. McGuane was charged with breaking and entering nighttime for a felony. Image via Arlington Police Department",0,8,5
13,13,"Fairfax County Police have arrested four adults in connection with  an armed robbery that occurred on Saturday, April 19, in the Falls Church area. Police say they chased the suspects in their vehicle, which was also carrying six children. Police were called to an apartment complex in the 3100 block of South Manchester Street in the Falls Church area around 10:05 p.m. Two sisters, 24 and 17 years old, were walking through the parking lot when they were surprised by two men, according to a news release from the police department. One man brandished a handgun at the victims and demanded cash and property. The victims complied and the suspects fled on foot. Responding officers were able to locate the suspects in a vehicle in the area of Leesburg Pike and Carlyn Springs Road, but the vehicle fled, police said. During the pursuit, the suspect vehicle struck another car in Arlington County at Columbia Pike and South Glebe roads. The pursuit continued into Washington, D.C. before it crashed into a barrier wall at C Street and Washington Avenue. Marcus Woodland, 25, of 3126 E Street in Washington, D.C. and Christopher Woodland, 31, of 5057 Ayers Place SE in Washington, D.C. were each taken into custody and turned over to Metropolitan Police. They are each charged with robbery. Abena Okrah, 19, of 4233 Americana Drive in Annandale, and Beverly Starr, 25, of 5057 Ayers Place SE in Washington, D.C., were both in the vehicle as well. They were each taken into custody and turned over to Metropolitan Police. They are each charged with receiving stolen property. All four suspects are awaiting extradition back to Fairfax County. Six small children, all under the age of 6, were also inside the car. All six children were turned over to Child Protective Services in the District.",0,8,5
14,14,A fight that broke out between two students at Hannah Beardsley Middle School in Crystal Lake Monday has lead to felony juvenile charges against one child who police said fractured the other childs clavicles and made a verbal reference to the victims national origin. The child has been charged with aggravated battery and hate crime—both felony offenses.  The child was taken to the Kane County Juvenile Detention Facility pending a court hearing at a later date. The names of both the victim student and accused offender are not being released because they are both minors.,1,0,3
15,15,"Containment on the Clayton Fire, now in its 10th day in Lake County south of Lower Lake, has hit 95 percent with 3,920 acres consumed, according to this mornings figures from Cal Fire. Current data indicates that the fire has destroyed 299 structures -- including 189 single-family homes, eight commercial structures and 102 other structures, such as sheds and smaller outbuildings. As surveys are completed and additional data is confirmed, the number of structures damaged or destroyed may change, Cal Fire said. Presently at the Clayton Fire scene are 1,216 firefighters, the agency said. A community meeting, hosted by the Lake Countys Long-Term Recovery Task Force, is set for 6 p.m. Wednesday, Aug. 24 at the Lower Lake High School gymnasium at 9430 Lake St., the Lake County Sheriffs Office announced today. The session, open to the public, will focus on recovery updates and allow fire survivors to share concerns and ask questions of Task Force members. For those unable to attend, the meeting will be broadcast live on the Lake County OES Facebook Page at https://www.facebook.com/LakeCountyOES/ and be available for viewing later, as well. The Task Force is a partnership of local, state and community representatives working to aid in the recovery of Clayton Fire survivors and the rebuilding of Lower Lake. In addition, a Local Assistance Center for residents, offering numerous referral services, is scheduled to open today at the old Lower Lake Bank Building, 16195 Main St. in Lower Lake, and will operate from 10 a.m. to 7 p.m. through Friday, Aug. 26, according to the Lake County Sheriffs team. Agencies and services will include LEAP, Assessor-Recorder, Community Development, Behavioral Health, Public Health, Environmental Health, Veterans Services, Lake Family Resource Center, Workforce Lake, United Policy Holders, Social Security Administration, Contractors State License Board, DMV, EDD, Ca Department of Insurance, State Board of Equalization, Franchise Tax Board, Ca Veteran Affairs, Victims Compensation and Government Claims and more. All Clayton Fire survivors are encouraged to attend and register, enabling providers to communicate when additional services and resources become available. The cause of the Clayton blaze now is officially listed as arson, as a Clearlake man was arrested last week for suspicion of arson for the fire and other blazes in the area. The Clayton Fire broke out Aug. 13 evening near Highway 29 and Clayton Creek, south of Lower Lake. On Aug. 21, Cal Fires Incident Management Team 3 gave command of the Clayton Fire to the Cal Fire/Sonoma Lake Napa Unit. Previous Clayton Fire coverage: --Image via American Red Cross of California Northwest",0,8,5
16,16,"SAN FRANCISCO PENINSULA -- Police in Mountain View are asking for the publics help in finding a man who stole a womans purse and car and burglarized her house recently. The womans purse was stolen from her locked car, which was parked in the 500 block of Showers Drive in Mountain View from 8:30 a.m. to 11 a.m. on Jan. 11. After the woman returned to her Mountain View home and reported the burglary to police, she found that her home had been burglarized and another family car, a 2001 silver Lexus, had been stolen. Police believe the same man committed both crimes. Hes described as being between 30 and 35 years old with brown hair and eyes, standing between 6 feet and 6 foot 3 inches tall. Anyone with information about this incident has been asked to call Mountain View police Officer Ruben Gonzalez at (650) 903-6395. Bay City News contributed to this report/Image via Shutterstock",0,8,5
17,17,"Barrington Fire Chief Gerald Bessette said the fire that destroyed the Colonial Drive in Barrington today, Jan. 10, appears to have started in the garage. One of my off-duty fire lieutenants (Lt. Ed Owens) was the first to arrive, Bessette said. He saw smoke from across the river in Warren. He determined where the house was and drove over here. Owens found three cars in the driveway and the doors to the house unlocked, the fire chief said. Not a good sign. He found a fire in the garage and called 911, said Bessette. But he found no one in the house. The state fire marshals office is investigating the fire, Bessette said. An investigator was on the scene at around 3 pm. The house appeared to be fully engulfed by the time firefighters arrived, the chief said. He pulled everyone out of the house soon after they arrived. It was simply too dangerous inside the wooden frame house. Bessette said he was told that three people lived in the house, a father, mother and an adult daughter. He did not know their names, and was not even sure the father was aware that the house was destroyed at mid-afternoon. Click here to see the original story on the fire. Download the movie",0,8,5
18,18,"PHOTO: Courtesy of Memorial fund for Natalia ---- The teenage daughter of a San Jose fire captain was killed in a car crash in Gilroy last weekend. Natalia Salcido, 15, was the daughter of San Jose fire Capt. Christopher Salcido, who is a spokesman for the department. Natalia was a passenger in a car that crashed into a tree in the 6300 block of Miller Avenue in Gilroy around 10 p.m. Saturday, police said. The two other teens in the car were able to walk away from the crashed car without injuries, but Natalia suffered major trauma and was transported to a hospital, where she was pronounced dead, according to police. The San Jose Fire Department mourns the loss of Natalia Salcido, cherished daughter of Andora Salcido and Fire Captain Christopher Salcido and beloved sister of Noelle, city fire officials said in a statement issued today. The news of Natalias passing has been difficult for the San Jose Fire Department family. We are maintaining close contact with the Salcido family and we stand ready to provide support and comfort in any way that we can, fire officials said. Natalia was a sophomore at Christopher High School in Gilroy, where she was an honors student, cheerleader and member of the Associated Student Body leadership group, school principal Paul Winslow said. She was very, very well-loved among students and staff here, Winslow said. More than 1,000 people attended a sunset vigil Monday at the schools football stadium. The family is holding a noon memorial service for Natalia at the schools gym this Sunday, on what would have been her 16th birthday, Winslow said. The school is offering grief counseling for students this week to cope with Natalias passing, according to Winslow. Dawn LaHue Guillen, a family friend of Natalias, said the death has rocked everybody to their very core. She was a shining light on the campus, Guillen said. Guillen has set up a GoFundMe page to help pay for the 15-year-olds funeral expenses. The fundraiser had generated $5,305, exceeding its $5,000 goal, as of late this morning. Donations can be made online at http://www.gofundme.com/u7n9z8. --Bay City News Also on Patch:",0,8,5
19,19,"A Bethlehem man held a knife in a loaded position over a woman while she was in bed early Thursday and threatened to kill her, court records say. Kareem Johnakin, 41, also is accused of threatening to kill the womans son inside the same house at 2447 South Court in the northeast section of the city. The son told police he saw Johnakin holding a knife and that Johnakin told him he was going to kill them, the records say. Police arrived at the South Court address around 3 a.m., according to a criminal complaint filed by Bethlehem police Officer James J. Hoffman. The woman and her son were standing outside. The woman told Hoffman Johnakin had yelled at her while she was inside her bedroom. He went over to the bed and ripped the sheets off of her, she said. He then pulled a knife from a closet and raised it over his head in a loaded position while telling her he was going to kill her, the complaint says. She said she ran to her sons bedroom while yelling for him to call police. The son told police he was sleeping in his bedroom when he heard a commotion from the hallway. He walked out of his room, saw Johnakin holding a knife and heard him say he was going to kill them, the complaint says. Johnakin was charged with two counts of terroristic threats and one count of simple assault. He was arraigned shortly after 7 a.m. Thursday by on-duty District Judge Jackie Taschner of Palmer Township and committed to Northampton County Prison in lieu of $35,000 bail.",0,8,5
20,20,"A water main break at the Timber Ridge Apartments damaged two apartments, forcing residents out of one, according to . The cause of the break in the 8-inch main, which was reported at 2:40 p.m. Monday, is still under investigation, said David Weed, community services officer. The water flowed for about 20 minutes at the apartments at Northeast 181st Street and 143rd Avenue Northeast before it was shut off and repaired. Mud and water flow damaged two apartments, one of which was unoccupied, Weed said.",0,8,5
21,21,"A noreaster packing up to 60 mph winds is expected to dump a foot of snow - or more - in N.J. this weekend, and sand barriers are being built to stop major coastal flooding. The National Weather Service has issued a Blizzard Watch that will impact almost all of New Jersey from late Friday into Sunday. Click here to stay up-to-date on storm developments by subscribing to your local Patch emails. Here is a breakdown of the snow totals, wind speeds, wind chill and temperatures for the region, broken down county by county: Northwest-Central Jersey (Morris, Warren, Sussex Hunterdon) FRIDAY 9 p.m. SATURDAY 12 a.m. 3 a.m. 6 a.m. 9 a.m. 12 p.m. 3 p.m. 6 p.m. 9 p.m. SUNDAY 12 a.m. 3 a.m. Central Jersey (Middlesex, Mercer, Union, Somerset) FRIDAY 9 p.m. SATURDAY 12 a.m. 3 a.m. 6 a.m. 9 a.m. 12 p.m. 3 p.m. 6 p.m. 9 p.m. SUNDAY 12 a.m. 3 a.m. Northeast Jersey (Bergen, Passaic, Union, Essex) FRIDAY 9 p.m. SATURDAY 12 a.m. 3 a.m. 6 a.m. 9 a.m. 12 p.m. 3 p.m. 6 p.m. 9 p.m. SUNDAY 12 a.m. 3 a.m.",0,8,5
22,22,"Fire tore through a Pine Tree Lane home Wednesday night, destroying the property that is listed for sale. No one was injured in the blaze, according to an article in Winnetka Talk. The cause of the fire is under investigation. It took firefighters from several departments about an hour to put out the fire, which started around 9 p.m., the article states. The home, in the 900 block of Pine Tree Lane, is listed as for sale on the Hudson Company website for $800,000. The listing describes the home as a four-bedroom colonial on a half acre of land that needs repairs.  For more Winnetka-Glencoe news, sign up for our free daily newsletters, like us on Facebook and follow us on Twitter.",0,8,5
23,23,"- An undercover Napa Special Investigations Bureau (NSIB) probe into the suspected cocaine trafficking activities of a Napa man ended with his arrest last week when detectives served a search warrant allowing them access to the 27-year-olds cars and home, the NSIB announced in a news release Thursday. Working off information initially developed in spring of this year that Alifonso Martinez was allegedly selling cocaine in and around Napa, NSIB detectives obtained the warrant and on Wednesday, Aug. 9, conducted surveillance on Martinez at his place of employment in the 200 block of Devlin Road, NSIB Lt. Gary Pitkin stated in the news release. Martinez was detained as detectives searched his car, inside of which they allegedly found both cocaine and crystal methamphetamine intended for sale, the lieutenant said. Detectives then searched Martinezs home in the 100 block of Garth Street, where according to Pitkin, they seized more cocaine and meth, packaging materials, a digital scale and over $7,200 in cash allegedly found in Martinezs bedroom. Pitkin said Martinez was arrested without incident and booked into Napa County Department of Corrections on suspicion of possession of both cocaine and meth for sale. Pursuant to asset forfeiture laws, NSIB seized the cash as suspected drug proceeds. The arrest and seizure prevented over 500 doses of cocaine and crystal meth from hitting the streets, Pitkin said. Image via Shutterstock",0,8,5
24,24,"A UT Southwestern professor died early Saturday when he was struck by passing cars while trying to cross northbound I-35 at Walnut Hill. Dr. Andreas Doncic, 40, was trying to cross the highway around 2:45 a.m., a spokesperson from Dallas County Sheriffs office told Patch. While trying to cross, he was struck in the highways left center lane. Authorities said evidence suggested Doncic had been at a local club with friends earlier in the evening. Doncic did not have identification on him at the time, but was later identified by the Medical Examiner. After he was struck, all vehicles in the area stopped to help. No charges are expected on any of the drivers, the spokesperson said. According to his LinkedIn profile, Doncic specialized in Systems Biology, Mathematical Modeling, Image Analysis, Microscopy, Microfluidics, Molecular Biology, Genetics (Budding Yeast). Before going to work at UT Southwestern, Doncic worked as a postdoctoral research fellow in Stanford Universitys biology department. (For more local news, click here to sign up for real-time news alerts and newsletters from Dallas Patch, or click here to find your local Texas Patch. Also, if you have an iPhone, click here to get the free Patch iPhone app.) He obtained his Ph.D. at Tel-Aviv University & Weizmann Institute of Science where he wrote a dissertation titled, Towards a system-level understanding of the Spindle Assembly Checkpoint. He leaves behind a wife, a 3-year-old toddler and a 7-week-old baby. Image taken from Missing Person Flyer for Andreas Doncic",0,8,5
25,25,"The Ocean County Prosecutors Office recently charged a Seaside Park police officer with aggravated assault after he pointed his service revolver at the head of a police academy recruit, spokesman Al Della Fave said. Sgt. Matthew Brady, 37, aimed his revolver at the recruit, in the Municipal Building on Nov 15, 2016, Della Fave said. Brady is charged with aggravated assault by knowingly and under circumstances manifesting extreme indifference to human life by pointing his firearm at a fellow officer. Brady pointed his firearm at the head of a Class One Officer Thomas Schiermeyer in a threatening manner while in the Seaside Park Municipal Building. Based upon interviews of several officers present, Brady removed his firearm from his holster and pointed it at the head of the officer in response to a question posed to Sgt. Brady, Della Fave said. The assault occurred while the young officers were filling out paperwork to enter the Ocean County Police Academy. Members of the Seaside Park police department informed the internal affairs unit of the Prosecutors Office, he said. Brady was processed on a summons to answer the charges at a future date. He was charged and arrested by Detective James Conroy, Della Fave said. Photo: Patch file photo",0,8,5
